id,area,rent_sqft,units,yr_built,lat,lon,low_income,value_imprv_sqft
c11326255,5278,2.13,7,1919,37.7666588737628,-122.25782200701,No,78
c1134400,9656,1.79,12,1946,37.8113370297716,-122.253608736343,No,133
c11355699,3295,1.26,5,1941,37.7770812705286,-122.209717116288,No,132
c1135850,16016,1.68,13,1962,37.6833629643073,-122.065244744633,No,72
c11393401,4108,1.69,6,1943,37.8553646414932,-122.27198936703,No,130
c11395859,4829,1.89,8,1987,37.5267488265903,-122.043045271355,No,51
c11400216,2067,2.11,5,1945,37.6727499751965,-122.087516786545,No,55
c11405923,4295,2.01,5,1920,37.8503993991334,-122.275041968855,No,62
c11413312,5633,1.47,5,1946,37.841557365952,-122.267220967821,No,80
c1146918,8979,1.77,9,1954,37.8179548674618,-122.260058627101,No,133
c1147009,3487,1.66,7,1964,37.7458439666638,-122.155602626734,No,88
c1149333,34168,2.37,34,1972,37.5518494731522,-122.019336095152,No,111
c1150269,6410,1.47,6,1958,37.7935138080924,-122.212965535316,No,105
c1150999,7069,1.34,7,1960,37.7919765918173,-122.216026482708,No,101
c1153758,12260,1.61,11,1969,37.7201706997754,-122.148234148614,No,110
c1173558,14389,2.5,22,1951,37.7978283969534,-122.229470222945,No,102
c1173581,5244,1.61,6,1932,37.8065761798113,-122.247310087855,No,130
c118502,8554,2.3,10,1953,37.8528800056048,-122.252992478961,No,128
c118522,5228,1.56,7,1953,37.7700267914507,-122.183171891972,No,112
c118608,15986,1.94,23,1962,37.7953184087426,-122.234186602663,No,130
c1186755,4520,1.53,7,1945,37.7690491982587,-122.179276000893,No,111
c1186767,3572,1.65,7,1965,37.7465179265324,-122.171224824708,No,140
c1186909,4674,1.96,7,1941,37.8584091558215,-122.280431893133,No,94
c1192006,4049,1.73,7,1945,37.7269406240725,-122.163765744649,No,131
c1223024,8278,1.69,8,1966,37.6690530727463,-122.099047621102,No,107
c1236819,5035,1.85,6,1945,37.7770543433056,-122.281293588574,No,136
c1238038,7295,1.7,9,1963,37.8639060208794,-122.274151179023,No,124
c1251939,23572,2.44,34,1956,37.7980255413777,-122.240909892241,No,99
c1254213,13054,1.75,16,1962,37.6172126477872,-122.035813898935,No,139
c1282700,25319,2.36,34,1954,37.869035157887,-122.290111265351,No,92
c1310409,10029,1.5,11,1954,37.7639017899232,-122.165380750024,No,57
c1310413,12210,1.78,17,1967,37.8724710639314,-122.281770267226,No,128
c1313341,28798,2.07,43,1967,37.792767784188,-122.218605074579,No,94
c1317783,29287,2.69,38,1971,37.553755477761,-122.004866223743,No,110
c1318450,4275,2.14,6,1921,37.7997694883278,-122.210610840386,No,110
c1319326,2669,2.65,6,1928,37.8498044916254,-122.275934174959,No,159
c1319495,15813,2.55,22,1953,37.860385006761,-122.253754464918,No,133
c1336816,23307,1.71,21,1967,37.7975766009272,-122.206122619055,No,127
c1356010,10808,2.49,10,1954,37.8644821334153,-122.257951613465,No,88
c1397468,4083,1.55,8,1919,37.7736677984588,-122.224909651217,No,90
c1418757,8872,2.2,8,1959,37.8769721838271,-122.27163703515,No,98
c1419846,6709,2.16,10,1956,37.8627145173691,-122.293341360374,No,79
c1447562,18351,2.08,16,1965,37.8789873061671,-122.2666051906,No,104
c1447677,7165,1.6,8,1960,37.8611301598305,-122.292837267273,No,87
c1448674,42515,2.08,56,1965,37.7724165701361,-122.176560022012,No,80
c1449929,13326,2.79,13,1958,37.8787356421743,-122.268298951792,No,139
c1470404,33966,2.41,47,1968,37.7061301571255,-122.115847827615,No,126
c1478627,21789,2.56,28,1967,37.8020115002565,-122.217293059697,No,93
c1479172,8579,1.68,9,1962,37.8535515044623,-122.283027543511,No,119
c1480560,29119,2.01,23,1962,37.7003282033622,-122.117101011289,No,77
c1482542,4896,2.67,6,1913,37.8659565699138,-122.261232546407,No,130
c1486458,4865,2.51,6,1924,37.8811099904973,-122.265668293674,No,129
c1488237,5800,2.19,8,1941,37.8252509976169,-122.263826143827,No,100
c1489773,6200,1.53,7,1951,37.7320423856311,-122.158477806256,No,132
c1498989,5636,1.46,5,1949,37.8476019512362,-122.277955479596,No,63
c1504452,14240,1.55,16,1955,37.7980885199183,-122.207232181245,No,79
c1507697,15791,2.17,19,1940,37.7764775846067,-122.195490579823,No,77
c1511959,41785,2.8,50,1964,37.7117792975473,-122.136250861096,No,56
c1513617,157580,2.67,191,1966,37.6477196968923,-122.069457294574,No,98
c1519117,5788,2.48,7,1930,37.8526629186482,-122.256787693086,No,152
c1523659,16429,3.11,14,1955,37.8779289961682,-122.267122884047,No,45
c1525953,151083,3.25,194,1975,37.540013810367,-121.975100659283,No,90
c1525972,449557,2.93,581,1978,37.661114016198,-122.064521431505,No,96
c1525995,145514,2.87,155,1987,37.5343665069356,-122.034575406999,No,109
c1526738,117115,4.03,100,2005,37.7927980028502,-122.268990875211,No,304
c1528886,21160,1.96,17,1969,37.6860396733738,-122.07115150639,No,107
c1533581,4446,2.13,7,1934,37.8165330117793,-122.256758102419,No,166
c1533834,7376,1.41,7,1963,37.7537683429507,-122.184835167577,No,66
c1538740,15917,2.02,11,1959,37.8060161397677,-122.249805373594,No,102
c1545882,3321,1.58,5,1940,37.7970796889673,-122.225927081098,No,98
c1552410,11009,1.61,11,1967,37.6933248364835,-122.080501396372,No,65
c1552533,5326,1.41,7,1963,37.7720632927274,-122.211105253564,No,92
c1556620,6406,1.63,8,1964,37.8631053511605,-122.276133181534,No,148
c1556852,9149,2.05,7,1951,37.8274238583902,-122.260377425021,No,61
c1564264,154990,3,177,2002,37.7082276792896,-121.908982617867,Yes,294
c1564266,162138,3.14,206,1988,37.6921211866262,-121.883727462273,No,176
c1583798,6366,1.71,10,1912,37.7970110009502,-122.249877573515,No,135
c1593804,382972,3.09,464,1989,37.6951887632449,-121.881568404261,No,86
c1593853,440841,2.82,561,1985,37.6366796669292,-122.112168193458,No,267
c1593866,165855,2.89,205,1988,37.7290320009541,-121.91174745251,No,164
c1593873,200914,3.3,228,1985,37.4937246802395,-121.927281942766,No,81
c1593882,244523,2.72,213,1972,37.5860122935973,-122.02334374719,No,57
c1594028,269588,2.93,254,1970,37.5434237337794,-121.975200181199,No,129
c1595177,109560,3.09,137,1988,37.5636202074754,-122.003657827419,No,158
c391412,27967,3.25,33,1981,37.8711714059663,-122.278431011885,Yes,188
c4071218,3375,1.42,5,1955,37.7781681211665,-122.220286729828,No,170
c4071223,31896,1.93,33,1960,37.6553412436017,-122.07654659892,No,42
c4071232,14764,2.63,21,1954,37.799848023005,-122.227488897603,No,162
c4071235,4934,1.94,7,1933,37.8769334253097,-122.267554138085,No,50
c4071242,6151,1.63,8,1950,37.7909438233867,-122.2471622666,No,48
c4071244,8286,1.64,6,1969,37.6996726439882,-122.178122431442,No,52
c4071259,4135,1.56,5,1953,37.6713915118684,-122.104823129047,No,93
c4071266,4961,1.3,6,1921,37.7868327343495,-122.23666196091,No,43
c4071268,10153,1.72,8,1949,37.8188956928854,-122.259268554332,No,58
c4071286,5173,1.9,6,1933,37.7984405003109,-122.234511280287,No,72
c4071304,4510,1.53,6,1910,37.8274256265039,-122.263985667557,No,73
c4071320,4859,2.03,7,1938,37.8778927638558,-122.267586214817,No,111
c4071325,99962,1.9,99,1974,37.6981997019397,-122.113694351235,Yes,107
c4071334,22247,2.45,26,1975,37.6809641091827,-121.745820155242,No,174
c4071336,27389,2.14,27,1978,37.7001112088908,-122.106613030389,No,64
c4071337,15752,2.45,18,1988,37.5613190048965,-121.979239327278,No,176
c4071339,5474,2.39,8,1943,37.8161460605418,-122.242768807353,No,114
c4071341,22516,1.8,5,1948,37.8127216496616,-122.243573764334,No,33
c4071352,10899,1.65,7,1948,37.8053144464388,-122.228572208502,No,46
c4071361,3155,1.56,5,1960,37.708063184227,-122.125849424664,No,139
c4071363,3520,1.67,5,1943,37.6797882631451,-122.109986901777,No,68
c4071366,7031,1.83,7,1965,37.8964147429952,-122.302165409837,No,52
c4071369,5597,2.09,8,1945,37.8527015496846,-122.258840671727,No,171
c4071372,4014,1.97,6,1948,37.6615145869574,-121.873210853716,No,157
c4071377,7517,1.38,6,1933,37.7973884306907,-122.252937906811,No,40
c4071381,19705,2.01,16,1942,37.8125785175652,-122.242444234206,No,90
c4071389,6326,2.57,10,1955,37.894875422618,-122.300072492431,No,55
c4071410,17973,1.47,17,1963,37.6353292199664,-122.065369207644,No,70
c4071411,5099,1.67,6,1965,37.8736368737504,-122.287367030591,No,92
c4071413,6398,1.75,9,1945,37.835983887621,-122.261363323206,No,102
c4071416,5603,1.64,6,1918,37.7672976575748,-122.257168527899,No,138
c4071440,10652,1.99,12,1956,37.8318920460328,-122.278958550679,No,33
c4071441,46013,2.46,18,1966,37.8247273563134,-122.248689862916,No,30
c4071446,9644,1.47,12,1969,37.6683578908058,-122.11241297512,No,110
c4071457,4940,1.54,7,1944,37.8125754778583,-122.259471443231,No,66
c4071458,3832,1.47,5,1963,37.6313429479197,-122.054452244304,No,113
c4071469,8249,1.91,7,1951,37.8787023160129,-122.262633329949,No,148
c4071476,5377,1.52,6,1981,37.6667559641905,-122.091212339717,No,72
c4071480,16174,1.54,19,1944,37.8346124182722,-122.278965621468,Yes,93
c4071481,6387,1.46,8,1960,37.7454660040817,-122.156035922207,No,114
c4071487,4184,1.44,6,1934,37.7829804334852,-122.207006895028,No,81
c4071488,7742,1.32,7,1956,37.8000475468316,-122.239897016147,No,100
c4071494,3821,1.65,5,1962,37.8775815172966,-122.287658789447,No,105
c4071501,10934,1.94,11,1942,37.8581139467511,-122.258160606388,No,145
c4071507,5928,1.96,7,1901,37.865602240288,-122.252284864107,No,72
c4071508,4394,1.87,6,1942,37.8813733870352,-122.276196347824,No,124
c4071520,18481,1.81,29,1946,37.7679842871582,-122.198058350249,No,39
c4071522,13287,1.96,11,1976,37.5279958984662,-121.920274772636,No,131
c4071540,21038,2.88,19,1941,37.8645906202299,-122.255508367577,No,57
c4071544,6218,1.73,6,1952,37.8556941354669,-122.270466644869,No,76
c4071548,15154,2.16,17,1951,37.7973777366222,-122.230005526845,No,86
c4071573,5974,1.68,5,1961,37.8779426950249,-122.293766014735,No,32
c4071585,10799,2.02,12,1971,37.6859530753352,-122.128383385876,No,143
c4071586,8429,1.68,9,1956,37.6656346861792,-121.883642261911,No,93
c4071590,16689,1.76,22,1960,37.8743991621885,-122.273880002063,No,104
c4071593,8725,2.05,5,1952,37.8300028012889,-122.251659130901,No,86
c4071603,7633,1.85,9,1942,37.832439036261,-122.251451335303,No,128
c4071606,15591,1.68,6,1966,37.6792443485299,-122.070572751982,No,55
c4071627,5869,1.93,10,1965,37.8572299532624,-122.279554499598,No,93
c4071628,16824,1.49,6,1934,37.8141856130552,-122.245461635223,No,37
c4071632,46094,2.74,62,1964,37.8564915000555,-122.280713339032,No,47
c4071646,3681,1.74,6,1928,37.8909967929025,-122.299896139271,No,74
c4071675,4796,1.2,6,1947,37.7644680414549,-122.165866803535,No,67
c4071679,15379,2.28,16,1961,37.8645146486839,-122.254735055117,No,91
c4071685,4518,1.99,6,1939,37.883435805184,-122.265957640355,No,113
c4071697,17831,1.91,9,1947,37.8268708341678,-122.253936092336,No,47
c4071698,23854,1.93,24,1952,37.7758564948347,-122.219503995444,No,40
c4071703,7976,1.66,8,1943,37.8151113269771,-122.252352947488,No,104
c4071723,6769,1.6,9,1946,37.8687906926979,-122.285031986527,No,98
c4071728,9945,1.54,7,1953,37.802708622777,-122.249636976552,No,66
c4071730,5901,1.27,8,1933,37.7704384006371,-122.193775708487,No,163
c4071736,20479,1.77,5,1958,37.8012533417292,-122.244353209231,No,30
c4071747,5032,1.38,6,1927,37.8399177649802,-122.281987819034,No,115
c4071760,19794,2.04,22,1955,37.7985358027874,-122.247539526113,No,34
c4071777,3833,2.22,6,1923,37.8641056310227,-122.271311282843,No,127
c4071781,13323,2.14,11,1940,37.8648081613125,-122.264481544898,No,92
c4071788,8677,1.6,9,1959,37.7717638843799,-122.263049954963,No,50
c4071791,4166,2.24,5,1918,37.8636111479781,-122.251067495342,No,130
c4071799,19185,2.74,23,1952,37.8327839408625,-122.251982537028,No,121
c4071800,5847,2.12,8,1926,37.8660011534304,-122.274371387883,No,18
c4071806,2457,2.33,8,1928,37.6758803060102,-122.088996092701,No,87
c4071833,5392,1.86,8,1959,37.8885520488239,-122.306922504063,No,100
c4071850,20850,1.97,11,1937,37.8162014179968,-122.241322720429,No,35
c4071887,68084,1.43,71,1975,37.6634888422314,-122.107771710588,Yes,49
c4071897,5898,1.73,5,1954,37.7645918269083,-122.254860471231,No,106
c4071911,30037,2.86,37,1949,37.8749523903599,-122.272510497568,No,29
c4071912,21356,2.21,21,1970,37.6763966977672,-121.756284687953,No,36
c4071928,9554,1.72,6,1966,37.8432692597965,-122.257868932878,No,63
c4071938,17037,1.87,16,1967,37.6972685117063,-122.084858823643,No,94
c4071940,20455,1.77,12,1958,37.8398816598368,-122.277981207152,No,27
c4071946,11960,1.9,14,1954,37.8159204650909,-122.256242919046,No,129
c4071970,8638,1.52,8,1967,37.7906965815737,-122.193606371809,No,104
c4071985,7476,1.62,7,1968,37.6409031076086,-122.07359970882,No,97
c4071992,58416,2.53,59,1974,37.6801930863737,-122.100655076339,No,39
c4072009,4656,2.06,6,1931,37.8787907280384,-122.261108439821,No,154
c4072012,20215,2.19,19,1963,37.8140541311881,-122.252509365669,No,54
c4072013,9498,1.7,12,1946,37.8667400270931,-122.28227884686,No,115
c4072014,8205,1.82,8,1917,37.8668688162037,-122.264023751481,No,67
c4072017,6525,1.41,7,1918,37.8343356910836,-122.264441280424,No,78
c4072019,13242,1.78,9,1958,37.8126866933537,-122.254591507604,No,72
c4072027,4448,1.6,6,1964,37.6398947950912,-122.072300990121,No,114
c4072032,5412,1.72,8,1961,37.6652809899875,-122.113465751639,No,130
c4072043,21322,2.5,9,1962,37.8307902217692,-122.272817348115,No,28
c4072053,7722,1.85,6,1933,37.8611825122796,-122.262748437527,No,34
c4072067,6092,1.47,7,1950,37.6824130616777,-122.092985053764,No,53
c4072068,13784,1.84,17,1962,37.7515896209484,-122.164744563194,No,48
c4072069,23442,1.76,33,1957,37.7974746166478,-122.241583881438,Yes,117
c4072072,15467,2.06,19,1960,37.6939729195258,-122.083414415932,No,9
c4072085,9957,2,9,1959,37.8477996045363,-122.273657123962,No,34
c4072089,5623,2.45,7,1961,37.6691437177208,-122.09882668034,No,114
c4072094,7182,1.75,7,1977,37.6631151825888,-121.8536781709,No,81
c4072096,19531,2.62,24,1948,37.8011210890629,-122.2503002726,No,76
c4072097,17856,2.71,20,1969,37.4929612985546,-121.923879912802,No,62
c4072101,9688,1.77,12,1931,37.7970624188882,-122.253292863402,No,69
c4072105,28415,2.31,25,1962,37.8027906244862,-122.252687318009,No,73
c4072111,34646,2.66,32,1946,37.8650823581282,-122.262754417333,No,60
c4072114,27699,2.41,28,1956,37.8103899913229,-122.25582435543,No,100
c4072132,9927,1.68,11,1964,37.8549002293489,-122.275574541707,No,77
c4072133,22572,1.9,11,1940,37.8136236856835,-122.244879322653,No,22
c4072136,15136,1.91,16,1963,37.6349734625719,-122.065705113156,No,100
c4072139,21237,3.72,27,1954,37.7712146650564,-122.282824755548,No,174
c4072143,10439,1.56,13,1966,37.7829824793045,-122.203968369859,No,91
c4072149,4077,1.61,6,1933,37.7755048649536,-122.275073680479,No,176
c4072163,7570,1.51,6,1973,37.6939392583106,-121.877308403373,No,77
c4072178,11632,1.93,17,1950,37.7943100548757,-122.216252791122,No,102
c4072180,3201,2.32,6,1926,37.7713412284403,-122.263596586672,No,166
c4072208,10841,1.88,10,1951,37.8323036710498,-122.249893537338,No,44
c4072211,23501,2.36,25,1956,37.7582649035419,-122.243273255092,No,94
c4072212,12863,3.76,23,1936,37.8770663431926,-122.261622401177,No,83
c4072213,9112,2.04,12,1938,37.8530848202107,-122.261339272102,No,102
c4072214,12202,1.3,12,1947,37.8004082730497,-122.239324030651,No,60
c4072216,7818,1.95,7,1941,37.8748273919459,-122.265735810014,No,48
c4072228,7356,1.83,7,1932,37.8127635584618,-122.242975571147,No,89
c4072233,8365,1.31,9,1960,37.7625405921209,-122.180261894693,No,48
c4072239,5424,1.36,5,1956,37.6815935054398,-122.109952477642,No,68
c4072242,5282,1.29,5,1960,37.7681323800606,-122.193135694807,No,48
c4072243,5920,2.06,6,1929,37.7984797949995,-122.23472963617,Yes,63
c4072244,13337,1.53,16,1964,37.7523520666155,-122.165264526432,No,74
c4072248,5705,2.06,7,1942,37.8537796094727,-122.272877090773,No,56
c4072249,190485,2.45,204,1981,37.6515454794988,-122.084822421134,No,91
c4072251,32056,2.26,38,1963,37.6551510118566,-122.091803858343,No,68
c4072253,73417,2.63,64,1985,37.7723534289359,-122.147106040441,No,183
c4072255,160571,2.63,235,1987,37.6970068426745,-121.781043458166,No,105
c4072256,214212,2.6,205,1986,37.7234129768935,-122.166298626489,No,88
c4072258,6655,1.8,8,1925,37.8291537746983,-122.262633262104,No,74
c4072261,4357,1.23,5,1950,37.6906025405191,-122.111976560919,No,80
c4072284,6621,1.92,6,1952,37.6769774986949,-122.077855552728,No,198
